image_id,ImageName,Class,X1,Y1,X2,Y2
1,20200715155752953_Lepton_420.jpg,1,82,2,124,67
1,20200715155752953_Lepton_420.jpg,0,90,25,111,72
2,20200715140600690_Lepton_410.jpg,0,90,72,117,110
3,20191028140628703_Lepton_1109.jpg,1,1,15,35,115
3,20191028140628703_Lepton_1109.jpg,0,16,68,55,119
4,20191104153055282_Lepton_000.jpg,0,35,72,83,99
5,20200715141026491_Lepton_360.jpg,0,59,39,75,72
6,20200715135548664_Lepton_160.jpg,1,83,41,130,109
6,20200715135548664_Lepton_160.jpg,0,52,60,75,88
7,20200715162623417_Lepton_150.jpg,0,66,63,88,90
8,20191028140628703_Lepton_842.jpg,1,5,41,59,112
8,20191028140628703_Lepton_842.jpg,0,79,68,123,120
9,20191107110917055_Lepton_180.jpg,1,55,10,104,73
10,20200715162623417_Lepton_620.jpg,0,64,57,93,92
11,20191111131149768_Lepton_270.jpg,1,25,40,62,80
11,20191111131149768_Lepton_270.jpg,0,37,45,64,83
12,20191028132752316_Lepton_070.jpg,0,18,58,56,95
13,20191106155622240_Lepton_250.jpg,0,26,57,60,94
14,20191104143153783_Lepton_300.jpg,1,17,2,105,120
15,20200715105552256_Lepton_355.jpg,0,90,82,106,120
15,20200715105552256_Lepton_355.jpg,1,61,55,119,114
16,20191106110059719_Lepton_350.jpg,0,63,52,97,104
16,20191106110059719_Lepton_350.jpg,1,16,39,71,102
17,20191107112317002_Lepton_130.jpg,1,3,3,30,120
18,20191106161953242_Lepton_590.jpg,0,23,45,46,104
19,20191112111121382_Lepton_140.jpg,0,104,27,128,54
20,20191112122722933_Lepton_280.jpg,1,45,67,66,120
21,20200715111254894_Lepton_350.jpg,0,54,69,72,102
22,20191106181127422_Lepton_000.jpg,1,62,25,116,102
23,20191111132700400_Lepton_290.jpg,1,89,73,138,120
24,20200715105358978_Lepton_520.jpg,1,67,48,104,104
24,20200715105358978_Lepton_520.jpg,0,49,82,72,116
25,20200715161714887_Lepton_565.jpg,0,89,56,108,114
26,20191106155622055_Lepton_040.jpg,0,69,69,114,101
27,20191111111710182_Lepton_010.jpg,0,71,72,96,120
28,20200715155946034_Lepton_400.jpg,1,69,56,112,117
28,20200715155946034_Lepton_400.jpg,0,24,48,47,90
29,20191107112324232_Lepton_030.jpg,1,0,9,57,119
30,20191106182531609_Lepton_180.jpg,1,0,0,57,117
31,20191106104720700_Lepton_160.jpg,0,91,21,113,75
32,20200715140041127_Lepton_580.jpg,1,102,30,144,94
32,20200715140041127_Lepton_580.jpg,0,125,73,143,108
33,20191028130809472_Lepton_150.jpg,0,7,50,27,80
33,20191028130809472_Lepton_150.jpg,1,1,41,33,88
34,20191107110645238_Lepton_140.jpg,1,65,3,136,78
35,20191028150528611_Lepton_280.jpg,1,27,10,86,120
36,20200715110653879_Lepton_110.jpg,0,61,61,89,87
37,20200715111417263_Lepton_015.jpg,0,104,48,126,93
38,20191028162249772_Lepton_070.jpg,0,53,58,66,80
39,20200715155626264_Lepton_116.jpg,0,94,60,121,95
39,20200715155626264_Lepton_116.jpg,1,52,60,105,120
40,20191106155717913_Lepton_220.jpg,0,44,67,82,91
41,20191106161701318_Lepton_410.jpg,1,16,37,62,100
41,20191106161701318_Lepton_410.jpg,0,39,68,81,107
42,20191107105808637_Lepton_010.jpg,0,27,66,83,110
43,20191111112427220_Lepton_070.jpg,1,43,7,84,80
44,20191111112059579_Lepton_410.jpg,1,3,44,37,86
44,20191111112059579_Lepton_410.jpg,0,3,61,30,97
45,20200715141811603_Lepton_475.jpg,0,96,32,114,68
46,20191028152652588_Lepton_110.jpg,1,3,3,59,120
47,20191104141939078_Lepton_310.jpg,0,2,48,57,113
48,20200715111300906_Lepton_045.jpg,0,37,86,79,108
49,20191106155626665_Lepton_220.jpg,0,49,63,82,102
50,20191112121252020_Lepton_280.jpg,0,69,38,109,83
51,20191111112106219_Lepton_300.jpg,1,37,31,79,77
51,20191111112106219_Lepton_300.jpg,0,24,52,49,90
52,20200715105711622_Lepton_270.jpg,1,84,46,107,95
52,20200715105711622_Lepton_270.jpg,0,66,55,84,95
53,20200715155626264_Lepton_450.jpg,1,69,41,96,90
53,20200715155626264_Lepton_450.jpg,0,102,65,139,105
54,20191106105306853_Lepton_020.jpg,0,25,68,67,119
55,20191104112328060_Lepton_620.jpg,0,2,68,47,120
56,20191104144716181_Lepton_200.jpg,1,92,66,104,120
57,20191104154405597_Lepton_010.jpg,1,97,63,114,117
58,20191111140241764_Lepton_370.jpg,0,59,65,101,111
59,20191106161658653_Lepton_300.jpg,0,79,47,107,90
59,20191106161658653_Lepton_300.jpg,1,42,28,78,87
60,20200715141026491_Lepton_545.jpg,0,48,47,61,82
61,20191111131438895_Lepton_420.jpg,0,113,41,153,81
62,20191104153232261_Lepton_190.jpg,1,40,42,80,90
63,20200715135336185_Lepton_650.jpg,1,78,39,129,109
63,20200715135336185_Lepton_650.jpg,0,61,43,80,84
64,20200715140751110_Lepton_385.jpg,0,69,44,88,89
65,20191104142319472_Lepton_040.jpg,0,36,18,69,99
66,20200715140406977_Lepton_025.jpg,0,58,72,84,100
67,20200715105101334_Lepton_030.jpg,1,61,6,85,81
68,20191104154245762_Lepton_110.jpg,1,84,62,101,120
69,20191106163621536_Lepton_270.jpg,1,113,26,159,120
70,20191107105609223_Lepton_160.jpg,0,27,28,57,83
71,20191028162557362_Lepton_100.jpg,1,97,0,156,69
72,20191106180705573_Lepton_190.jpg,1,22,40,68,94
72,20191106180705573_Lepton_190.jpg,0,68,56,99,97
73,20191111130418295_Lepton_210.jpg,0,47,38,65,80
74,20191028140634666_Lepton_397.jpg,0,74,16,109,97
75,20191104114251082_Lepton_020.jpg,0,46,63,71,92
76,20191106155622240_Lepton_230.jpg,0,31,59,58,93
77,20191106182622347_Lepton_250.jpg,1,64,38,95,120
78,20191111113602775_Lepton_250.jpg,1,43,28,78,120
79,20191104151121470_Lepton_290.jpg,0,14,54,38,110
80,20191111111404447_Lepton_330.jpg,0,57,13,75,57
81,20200715161714887_Lepton_315.jpg,0,76,53,91,77
82,20191107112405765_Lepton_030.jpg,1,81,44,100,93
83,20191111131307329_Lepton_120.jpg,1,23,36,56,79
83,20191111131307329_Lepton_120.jpg,0,41,24,95,114
84,20191028133153169_Lepton_550.jpg,0,74,34,92,59
85,20191112121252020_Lepton_200.jpg,0,67,59,108,98
86,20200715155607860_Lepton_525.jpg,1,57,77,82,117
86,20200715155607860_Lepton_525.jpg,0,76,81,95,120
87,20191106181304517_Lepton_160.jpg,1,77,7,139,72
88,20191028140628703_Lepton_1172.jpg,0,37,61,67,103
88,20191028140628703_Lepton_1172.jpg,1,1,47,45,115
89,20191104142011842_Lepton_300.jpg,0,107,75,141,104
90,20191111111603540_Lepton_180.jpg,0,77,66,101,96
91,20191104153232261_Lepton_130.jpg,1,40,42,79,90
92,20200715155607860_Lepton_340.jpg,1,54,75,80,115
92,20200715155607860_Lepton_340.jpg,0,75,77,89,118
93,20200715160123477_Lepton_150.jpg,0,12,75,33,120
94,20200715105344138_Lepton_020.jpg,1,75,44,101,93
94,20200715105344138_Lepton_020.jpg,0,65,73,81,102
95,20191104142318479_Lepton_320.jpg,0,75,22,93,72
96,20191111132700400_Lepton_100.jpg,1,86,71,128,119
